Id,Expected,Rooms,SqrMeters,Floor,Location,Description
460,330055,3,60.01,1,Poznań Jeżyce ul. Polna 28,Nieruchomości Mieszkania Nieruchomości Mieszkania
461,172155,1,24.94,4,Poznań Centrum ul. Wielka,Słoneczne mieszkanie na czwartym piętrze w kamienicy w Poznaniu w dzielnicy Centrum. Jeden pokój z aneksem kuchennym okna wychodzące na zachód; widok na inne budynki. Standard wykończenia: Ściany - gładź gipsowa; Podłogi - panele podłogowe;...
462,642592,3,44.76,3,Poznań Stare Miasto ul. Dominikańska,Zapraszamy do zapoznania się z nową inwestycją firmy Jakś-Bud! Dominikańska 9 oferuje 52 luksusowe apartamenty o powierzchni od 31 m2 do ponad 200 m2. W cenie już od 7.960 zł./m2 brutto. Ulica Dominikańska znajduje się w samym sercu Poznania i...
463,462858,3,70.13,1,Poznań Grunwald ul. Heweliusza / Palacza,OSTATNIE WOLNE MIESZKANIA! Na sprzedaż mieszkanie na terenie nowego osiedla na poznańskim Grunwaldzie u zbiegu ul. Palacza i Heweliusza. Na metraż mieszkania składają się 3 samodzielne pokoje w tym sypialnia z garderobą osobna kuchnia ...
464,325000,3,64,4,Poznań Piątkowo,Polecamy na sprzedaż 3 pokojowe mieszkanie o 64m2 Własnościowe z księgą wieczystą. Klatka schodowa odnowiona czysta i zadbana. Mieszkanie jest bardzo ciche ciepłe i jasne. Okolica bardzo spokojna wśród niskiej zabudowy przy osiedlowej uliczce...
465,395000,3,76,3,Poznań Jeżyce ul. Przybyszewskiego,Rozkładowe przestronne mieszkanie na trzecim piętrze w bloku mieszkalnym w Poznaniu w dzielnicy Jeżyce. Trzy pokoje okna wychodzące na wschód zachód; widok na inne budynki. Standard wykończenia: Ściany - gładź gipsowa; Podłogi - panele...
466,456000,2,58,1,Poznań Winogrady ul. Dobrogiejskiego,Polecam na sprzedaż mieszkanie usytuowane na pierwszym piętrze willi miejskiej w prestiżowej dzielnicy Poznania - Winogradach. Mieszkanie o wyższym standardzie składa się z 2 pokoi oddzielnej kuchni oraz łazienki z prysznicem. Umeblowanie...
467,293440,2,45.85,7,Poznań Piątkowo ul. Kurpińskiego,Nieruchomości Mieszkania Nieruchomości Mieszkania
468,245812,2,40.63,1,Poznań Winogrady ul. Hawelańska,Osiedle Nowe Winogrady zbudowaliśmy w północnej części Poznania w sąsiedztwie największego w mieście parku Cytadela i terenów rekreacyjnych nad Wartą. Pasjonaci historii mogą zwiedzać pobliskie stare forty z muzeami militariów. Lokalizacja...
469,220352,1,34.43,3,Poznań Łazarz ul. Kasprzaka 13,Na tyłach szkoły muzycznej pomiędzy ulicami Kasprzaka i Głogowską powstaje niepowtarzalny projekt INVENTIA który harmonijnie łączy historię i dzień dzisiejszy. Znakomite położenie w bezpośrednim sąsiedztwie Międzynarodowych Targów...
470,174000,2,49,1,Poznań Łazarz ul. Mottego,Sprzedam mieszkanie 2 pokojowe na 1 piętrze w oficynie kamienicy. Pokoje w układzie przejściowym ogrzewanie piecami kaflowymi. Istnieje możliwość zainstalowania centralnego ogrzewania - instalacja gazowa doprowadzona do lokalu. Okna plastikowe ...
471,85000,1,37,3,Poznań Nowe Miasto ul. Folwarczna,MIESZKANIE-TBS!!! kawalerka 37m2 85.000zł Cena do małej negocjacji !!! Zapraszam do zapoznania się z ofertą sprzedaży mieszkania położonego na ul.Folwarcznej w Poznaniu położone na spokojnym zadbanym osiedlu z doskonałą komunikacją miejską.W...
472,349000,1,27,1,Poznań Wilda ul. Kosińskiego,Dominanta Nieruchomości tel. 604 174 736 OFERTA TYLKO W BIURZE NIERUCHOMOŚCI DOMINANTA! Polecam do kupna przestronne dwupokojowe częściowo wyposażone mieszkanie na ulicy Kosińskiego. Mieszkanie o łącznej powierzchni 53 55 m2 położone na 1...
473,255465,2,40.55,7,Poznań Winogrady ul. Hawelańska,Nieruchomości Mieszkania Nieruchomości Mieszkania
474,499722,3,51.07,1,Poznań Grunwald ul. Heweliusza 3,W sprzedaży oferujemy mieszkanie na terenie nowego osiedla na poznańskim Grunwaldzie u zbiegu ul. Palacza i Heweliusza. Na metraż mieszkania składają się 3 samodzielne pokoje osobna kuchnia łazienka oraz przedpokój. Do mieszkania przynależy...
475,239000,2,37,3,Poznań Wilda Łazarz Centrum Grunwald ul. Kosińskiego,Polecam na sprzedaż mieszkanie zlokalizowane na Poznańskiej Wildzie przy ul. Kosińskiego. Składa się z salonu z aneksem kuchennym (20m2) sypialni (8 5m2) łazienki (4m2) i przedpokoju (4m2). Lokal jest bardzo ustawny i cichy z okien roztacza...
476,269070,2,45,3,Poznań Jeżyce ul. Jackowskiego,STYLOWE MIESZKANIE W KAMIENICY UL. JACKOWSKIEGO Polecamy mieszkanie o powierzchni ok. 44 m2 w rewitalizowanej zabytkowej kamienicy w sercu poznańskich Jeżyc. Słoneczne i przestrzenne mieszkanie na parterze budynku o bardzo dużym potencjale....
477,335000,3,59,1,Poznań Wilda,Polecamy na sprzedaż 3-pokojowe mieszkanie znajdujące się nieopodal ul. Chwiałkowskiego. Jej lokalizacja sprawia że jesteśmy w centrum miasta w części bardzo dobrze skomunikowanej ale jednocześnie cichej i spokojnej. W pobliskiej okolicy...
478,325000,4,70,2,Poznań Stare Miasto ul. Os. Bolesława Śmiałego,Mieszkanie 4-pok. w atrakcyjnej lokalizacji (w pobliżu las i basen) Do sprzedaży mieszkanie o powierzchni całkowitej 70 m2. Cena sprzedaży wynosi 325 000 zł. Mieszkanie znajduje się w bloku z cegły z 1990r. na 2 piętrze. Mieszkanie jest...
479,270000,2,46,1,Poznań Górczyn ul. Rejon Głogowskiej,Górczyn . Łazarz . Blisko Centrum . Zespół nowszych budynków o charakterze apartamentowym z windą. Osiedle monitorowane chronione 24 h z podziemną halą garażową. Zapraszamy . Polecamy do oglądania i zakupu ładnego nowszego mieszkania 46 m2...
480,280299,3,47.03,5,Poznań Nowe Miasto ul. Smolna 13 D,Nieruchomości Mieszkania Nieruchomości Mieszkania
481,175000,2,39.7,1,Poznań Centrum ul. Św.Marcin,OKAZJA.NIERUCHOMOŚĆ W ATRAKCYJNEJ CENIE. Mieszkanie do własnej aranżacji w centrum miasta. Pełna własność. Księga wieczysta opłaty 250zł. Jasna kuchnia-płytki pokoje przejściowe 7m i 22m- deska bukowa. WC i łazienka-płytki balkon-płytki....
482,590000,4,150,3,Poznań Jeżyce Grunwald Łazarz ul. Matejki,Mieszkanie 150 m2 na Łazarzu w pięknie odnowionej kamienicy. Główne atuty nieruchomości: • bliskość komunikacji miejskiej • bliskość terenów zielonych Nieruchomość złożona z: • pokój 30 m.kw • pokój 20 m.kw • pokój 30 m.kw • pokój 20 m.kw •...
483,279000,3,78,3,Poznań Centrum Stare Miasto ul. Strzałowa Rybaki Długa,Polecam na sprzedaż-Strzałowa-Rybaki Ścisłe Centrum Poznania Mieszkanie znajduje się na trzecim piętrze kamienicy . Mieszkanie o powierzchni 78m kw składa się z: 2 pokoje niezależne z oknami ok. 27mkw i 20mkw jeden pokój przejściowy bez okna-...
484,371000,3,47,2,Poznań Łazarz ul. Grottgera 15/19,Najbardziej Prestiżowy Adres w Poznaniu!! Przedstawiamy Państwu Kamienicę przy ul. Artura Grottgera 15 w reprezentatywnej dzielnicy Łazarz która znajduję się w strefie historycznej Maxa Johowa znanej jako Johow-Gelande - w samym centrum...
485,216216,1,32.76,1,Poznań Jeżyce ul. Polna 28,Nieruchomości Mieszkania Nieruchomości Mieszkania
486,184000,1,33.51,4,Poznań Stare Miasto ul. Piaskowa,BT licencjonowany pośrednik gwarancją BEZPIECZNEJ TRANSAKCJI Na sprzedaż mieszkanie poddaszowe o pow. użytkowej 33 51 m2 (po podłodze: 37 55 m2) zlokalizowane w zrewitalizowanej kamienicy z 1905 roku przy skrzyżowaniu ul. Garbary / Estkowskiego....
487,470000,3,70,4,Poznań Poznań-Jeżyce,... BT - GWARANCJA BEZPIECZNEJ TRANSAKCJI POD OPIEKĄ LICENCJONOWANEGO POŚREDNIKA... ________________________________________________________________________________ PROPOZYCJA DLA KONESERA NA SPRZEDAŻ 3-POKOJOWE MIESZKANIE w POZNANIU NA...
488,289000,3,47,1,Poznań Rataje Malta Chartowo Śródka Starołęk ul. Armii Krajowej,Polecamy na sprzedaż 3- pokojowe mieszkanie w idealnej lokalizacji na Ratajach- Osiedle Armii Krajowej po KAPITALNYM REMONCIE. Lokal usytuowany jest na wysokim parterze w NISKIM BLOKU. Składa się z 3 niezależnych pokoi jasnej kuchni z oknem ...
489,257000,2,63,2,Poznań Wilda ul. Sikorskiego,BEZPIECZNA TRANSAKCJA TYLKO Z LICENCJONOWANYM POŚREDNIKIEM!!! Na sprzedaż mieszkanie PO REMONCIE. o pow. 63m2 przy ul. Sikorskiego. W skład nieruchomości wchodzą: - pokój dzienny ok. 25m2 - kuchnia - sypialnia ok. 16m2 z dużą szafą w...
490,177000,1,31,10,Poznań Grunwald ul. Galileusza,Polecam na sprzedaż przytulną kawalerkę 31 m2 przy ulicy Galileusza na Osiedlu Kopernika znajdującą się na 10 piętrze w wysokim bloku. Mieszkanie składa się z małego korytarza dużego pokoju oddzielnej kuchni z oknem oraz łazienki po remoncie z...
491,249000,2,47,11,Poznań Winogrady ul. Os.Wichrowe Wzgórze,Idealne mieszkanie na inwestycje lub do zamieszkania. Spółdzielczo - własnościowe czynsz 460zł. Jasna kuchnia z meblami-nowe płytki pokoje 22m i 11m- panele wc i łazienka-płytki szafa komandor balkon okna PCV z roletami 2x...
492,267626,2,45.67,3,Poznań Nowe Miasto ul. Smolna 13 D,Nieruchomości Mieszkania Nieruchomości Mieszkania
493,264384,2,45.9,5,Poznań Nowe Miasto ul. Smolna 13 D,Nieruchomości Mieszkania Nieruchomości Mieszkania
494,157000,1,31,7,Poznań Grunwald,Atrakcyjna kawalerka na Grunwaldzie w okazyjnej cenie Polecam przestronne mieszkanie składające się z dużego pokoju (19 m 2 ) oddzielnej widnej kuchni oraz łazienki i przedpokoju. Metraż (31 m 2 ) i układ mieszkania pozwalają zaaranżować...
495,315000,3,59,4,Poznań Piątkowo ul. Os.Śmiałego,Mieszkanie o powierzchni 59 1 m kw położone na IV piętrze w IV-piętrowym budynku na Os. B. Śmiałego. Przedmiotowy lokal mieszkalny obejmuje 3 pokoje (pow. 21 4 m kw; 10 8 m kw; 8 4 m kw) kuchnię o pow. 7 4 m kw łazienkę (pow. 2 9 m kw) i WC...
496,255000,3,48,4,Poznań Sołacz Piątkowo Winogrady ul. Kosmonautów Os.,POLECAM NA SPRZEDAŻ mieszkanie na os. Kosmonautów . Mieszkanie jest zadbane o powierzchni 48m2. Składają się na nie 3 pokoje (15/12/6 5) kuchnia łazienka z WC i wanną balkon oraz piwnica. Mieszkanie znajduje się na 4. piętrze. Blok jest...
497,278000,3,60,2,Poznań Poznań-Nowe Miasto ul. Falista,Polecam mieszkanie na sprzedaż. Mieszkanie znajduje się przy ul. Falistej na Ratajach na drugim piętrze w 8-piętrowym bloku Powierzchnia mieszkania 60 m2. Mieszkanie ma b. dobry rozkład - 3 pokoje niezależne o pow. 18m2 z balkonem 10m2 i 9m2 ...
498,355000,4,74,1,Poznań ul. Os. Bolesława Chrobrego,Sprzedam przytulne 4 pokojowe mieszkanie zlokalizowane na Os. Chrobrego z dala od zgiełku ulicy. Mieszkanie o powierzchni 74 m2 położone jest na 1 piętrze w kameralnym 3 piętrowym bloku. W skład lokalu wchodzą 4 nieprzejściowe ustawne pokoje duża...
499,239000,2,84,1,Poznań Centrum Stare Miasto ul. Kantaka Św. Marcin 27 Grudnia,Zapraszam do zapoznania się z ofertą sprzedaży mieszkania 83 5mkw 239.000zł parter cena do negocjacji c.o. w kamienicy Przestronne mieszkanie na parterze w kamienicy w Poznaniu w ścisłym centrum Poznania. Dwa pokoje po ok. 33mkw osobna...
500,450000,4,102.3,2,Poznań Łazarz ul. Sczanieckiej Poddasze Do Adaptacji,Gorąco polecam do kupna wyjątkowe mieszkanie na 2 piętrze kamienicy z lat 40stych w najbardziej pożądanej lokalizacji w centrum – Łazarz blisko Areny i Parku Kasprowicza – ul. Emilii Sczanieckiej. Łączna powierzchnia to 102 3 m2 na którą...
501,349990,3,79.9,16,Poznań Stare Miasto Piątkowo ul. Osiedle Bolesława Śmiałego,Wygodne 3-pokojowe mieszkanie na szesnastym piętrze wieżowca na osiedlu BOLESŁAWA ŚMIAŁEGO. Główne atuty nieruchomości: • doskonała komunikacja z centrum Nieruchomość złożona z: • pokój 17 5 m.kw • pokój dzienny 20 8 m.kw • sypialnia 11 3...
502,364981,3,71.52,2,Poznań Centrum,NAJWIĘKSZA OFERTA RYNKU PIERWOTNEGO W WIELKOPOLSCE !!! PONAD 50 INWESTYCJI DEWELOPERSKICH W POZNANIU I OKOLICACH W JEDNYM MIEJSCU !!! U NAS W BIURZE : - zapoznasz się z aktualną ofertą ponad 30 deweloperów - wspólnie z doradcą wybierzesz...
503,349000,4,65,1,Poznań Winogrady Piątkowo Sołacz ul. Kosmonautów Os.,Polecam na sprzedaż mieszkanie 4- pokojowe o niestandardowym układzie po generalnym remoncie. Pierwotny układ mieszkania został zmieniony tak aby uzyskać 3 niezależne nieprzechodnie pokoje. Czwarty pokój został połączony z kuchnią tworząc...
504,279000,3,45,1,Poznań Grunwald Górczyn Centrum ul. Poranek,Kupując z pośrednikiem - kupujesz bezpiecznie z ubezpieczeniem oc od transakcji. Zapraszam do zapoznania się z ofertą sprzedaży zadbanego trzypokojowego mieszkania położonego w niskim budynku z cegły z lat 60-tych przy ul. Poranek (Grunwald)....
505,300018,2,48.39,4,Poznań Winogrady ul. Hawelańska,Nieruchomości Mieszkania Nieruchomości Mieszkania
506,227774,2,37.34,4,Poznań Wilda ul. Rolna 37 I 39,Nieruchomości Mieszkania Nieruchomości Mieszkania
507,665260,4,107.3,1,Poznań Grunwald ul. Barwicka 14,Mieszkanie 107 30m2 I piętro 4 pokoje. Inwestycja zakończona w 2014r nowoczesna architektura (drewno metal duże przeszklenia). Zachodnia część Poznania na Osiedlu Bajkowym. Stan deweloperski. Uwagę przyciąga unikalny charakter...
508,200025,1,31.75,6,Poznań Piątkowo ul. Kurpińskiego,Nieruchomości Mieszkania Nieruchomości Mieszkania
509,229000,2,50.7,3,Poznań Jeżyce Ogrody ul. Dąbrowskiego Mdm!,*** KUPUJ BEZPIECZNIE *** OFERTA LICENCJONOWANEGO POŚREDNIKA TO GWARANCJA BEZPIECZNEJ TRANSAKCJI Polecam na sprzedaż dwupokojowe mieszkanie w rewelacyjnej lokalizacji przy ul. Dąbrowskiego na poznańskich Jeżycach. Świetne połączenie...
510,419000,3,78.48,1,Poznań Nowe Miasto ul. Ul. Milczańska 1,Mieszkanie w programie MDM!!! Na sprzedaż komfortowe mieszkanie o metrażu 78 48m2 na 1 piętrze przy ulicy Milczańskiej. Składa się z salonu kuchni w formie aneksu 2 sypialni łazienki oraz ustawnego korytarza. Do mieszkania przynależy balkon....
511,320000,3,64.7,3,Poznań Winiary ul. Powstańców Warszawy,Możesz kupić bez prowizji! Numer oferty 15-040 Więcej zdjęć video oraz rzuty 2D na naszej stronie internetowej. 3 pokoje z potencjałem na os. Powstańców Warszawy (15-040) Rozkładowe własnościowe 3 pokojowe mieszkanie o powierzchni 61 m2...
512,390000,4,130.1,1,Poznań Wilda ul. Wybickiego,BT- BEZPIECZNA TRANSAKCJA!!! Polecam do sprzedaży mieszkanie w kamienicy na ul. Wybickiego. Kamienica z 1935 roku. 1 piętro. Świetna lokalizacja zarówno na cele mieszkalne jak i biurowe. 4 pokoje (20 2m2 35 1m2 20 7m2 17 3m2). Kuchnia 8 6m2 ...
513,269000,2,46.7,1,Poznań Naramowice Piątkowo Osiedle Howella ul. Naramowicka,NARAMOWICE ULICA NARAMOWICKA /UL. BOLKA - PRZYTULNE SŁONECZNE MIESZKANIE 2 POKOJOWE NA PIERWSZYM PIĘTRZE W ORYGINALNIE ZAPROJEKTOWANYM BUDYNKU HOWELLA Z 2003. Powierzchnia mieszkania: 46 70m2 - I piętro. Wejście do mieszkania od...
514,322796,2,52.9,1,Poznań Grunwald ul. Kamiennogórska,Mieszkać wśród spokojnej zieleni czy dać się porwać rytmowi miasta? Trudny wybór ale nie musi Cię dotyczyć jeśli zamieszkasz na Młodym Grunwaldzie! Poznaj miejsce dzięki któremu skorzystasz z wygód miasta i ciszy Lasku Marcelińskiego! Zrób...
515,225000,2,43,1,Poznań Rataje ul. Os. Piastowskie,SPRZEDAŻ LUB ZAMIANA!!! POZDOM NIERUCHOMOŚCI polecają do sprzedaży mieszkanie 2 pokojowe położone w Poznaniu dzielnica Rataje osiedle Piastowskie. Lokal znajduje się na wysokim parterze w budynku 10-o piętrowym. Poniżej znajdują się lokale...
516,240000,2,49,1,Poznań Grunwald ul. Mgielna,Polecam do sprzedania mieszkanie w atrakcyjnej cenie z dużym potencjałem inwestycyjnym do remontu. Idealne pod wynajem -niezależne pomieszczenia! Zlokalizowane na wygodnym 1 piętrze w trzypiętrowym bloku. Na piętrze są tylko 2 mieszkania....
517,265000,3,67,1,Poznań Łazarz Centrum Wilda Górczyn Grunwald ul. Łukaszewicza - Mieszkanie Z Balkonem!!!,BEZPIECZNA TRANSAKCJA JEDYNIE Z DOŚWIADCZONYM I LICENCJONOWANYM POŚREDNIKIEM!!! 100 % SATYSFAKCJI Z ZAKUPU!!! Polecam do zakupu mieszkanie 3 pokojowe położone na Łazarzu ( ul. Łukaszewicza ). Na 67 m2 składają się trzy ustawne pokoje osobna...
518,244000,2,54,1,Poznań ul. Władysława Sikorskiego,Mieszkanie składa się z pokoju dziennego z półotwartą Kuchnią z oknem łazienki oraz sypialni z garderobą. Wszystkie instalacje jak elektryczna wodnokanalizacyjna gazowa zostały wymienione na nowe okna nowe podłogi nowe drzwi wejściowe oraz...
519,207000,2,38,2,Poznań Grunwald Górczyn Łazarz ul. Bułgarska Ul,POLECAM NA SPZREDAŻ mieszkanie w spokojnej zielonej okolicy. Lokal jest odświeżony i odmalowany gotowy do zamieszkania od zaraz. Budynek został ocieplony klatka schodowa wyposażona w elektroniczny domofon na kod. Mieszkanie znajduje się na...
520,160000,1,29,1,Poznań Grunwald Łazarz,JASNA PRZESTRONNA KAWALERKA - blisko centrum - po remoncie! Kawalerka o metrażu 29 m2 z niezależnymi pomieszczeniami (pokój oddzielna kuchnia łazienka i korytarz) znajduje się na wysokim parterze w niskim bloku. Do mieszkania przynależy...
521,285000,3,73.9,2,Poznań Antoninek ul. Mścibora,Rozkładowe przestronne mieszkanie na drugim piętrze w bloku mieszkalnym w Poznaniu w dzielnicy Antoninek. Trzy pokoje okna wychodzące na północ południe wschód zachód; widok na inne budynki. Standard wykończenia: Ściany - tapeta; Podłogi -...
522,359000,3,68,1,Poznań Winogrady,Polecam na sprzedaż mieszkanie trzypokojowe o powierzchni 68 m2 na Winogradach rejon ul. Ugory i Czapli. Mieszkanie usytuowane na pierwszym piętrze w niskim czteropiętrowym bloku z cegły. Mieszkanie składa się z salonu 23 m2 połączonego z aneksem...
523,229000,2,41,2,Poznań Grunwald Jeżyce ul. Ul. Smoluchowskiego,BARDZO ŁADNE DWUPOKOJOWE MIESZKANIE Z BALKONEM 41 M.KW GRUNWALD UL.SMOLUCHWSKIEGO 229 000 !!! MIESZKANIE IDEALNE DO ZAMIESZKANIA I NA WYNAJEM BLISKO UAM I AM ! Oferuję na sprzedaż dwupokojowe mieszkanie o pow.41m.kw znajdujące się na 2 piętrze...
524,259000,2,47.7,2,Poznań Jeżyce ul. Polna,* GWARANTUJEMY BEZPIECZNĄ TRANSAKCJĘ I PROFESJONALNĄ OBSŁUGĘ * Gorąco polecam na sprzedaż - 2 pokojowe mieszkanie położone na drugim piętrze w niskim trzypiętrowym budynku z lat 60-tych. Przedmiotowy lokal znajduje się na Jeżycach na ul....
525,234000,2,41.75,3,Poznań Stare Miasto ul. Piaskowa,BT licencjonowany pośrednik gwarancją BEZPIECZNEJ TRANSAKCJI Na sprzedaż mieszkanie na 3-cim piętrze o pow. użytkowej 41 75 m2 zlokalizowane w zrewitalizowanej kamienicy z 1905 roku przy skrzyżowaniu ul. Garbary / Estkowskiego. Lokal...
526,349000,2,64,2,Poznań Rataje ul. Os. Św. Rocha,Opis dodatkowy Polecam na sprzedaż 2-pokojowego mieszkania zlokalizowanego w niskim bloku z cegły z 1999r. przy ul. św. Rocha (Rataje). Mieszkanie położone jest na II piętrze o powierzchni 64 m2. Duży salon z wyjściem na balkon i widokiem na...
527,315000,2,58.07,3,Poznań Grunwald/Łazarz ul. Głogowska,Polecam na sprzedaż mieszkanie w doskonałej lokalizacji przy ul. Głogowskiej na trzecim piętrze odrestaurowanej kamienicy z 1910r. Mieszkanie o powierzchni 58 m2 na którą składają się 2 niezależne pokoje (ok. 19 i 13 m2) oddzielna kuchnia (ok....
528,194877,1,33.03,1,Poznań Winogrady ul. Hawelańska Lechicka,0% prowizji od Kupującego! Polecam na sprzedaż mieszkania na nowym osiedlu w Poznaniu. Inwestycja to połączenie ciekawej architektury z funkcjonalnym i przestrzennym wnętrzem. Mieszkania od 25m2 do 126m2 z ogródkami lub balkonami/tarasami....
529,376232,3,66.9,1,Poznań Naramowice ul. Błażeja,Osiedle Na Skraju Lasu to nowoczesny kompleks mieszkaniowy złożony z trzech kameralnych budynków łączący nowoczesną architekturę belgijskie standardy budowy najlepszą lokalizację w dzielnicy i przystępne ceny. Zastosowane detale...
530,192150,1,30.5,5,Poznań Winogrady ul. Hawelańska Lechicka,0% prowizji od Kupującego! Polecam na sprzedaż mieszkania na nowym osiedlu w Poznaniu. Inwestycja to połączenie ciekawej architektury z funkcjonalnym i przestrzennym wnętrzem. Mieszkania od 25m2 do 126m2 z ogródkami lub balkonami/tarasami....
531,374906,3,67.1,1,Poznań Winogrady Piątkowo Naramowice Stare Miast ul. Wilczak Program Mieszkanie Dla Młodych,KUPUJĄCY NIE PŁACI PROWIZJI. Mieszkanie w programie MDM. Na sprzedaż mieszkanie 3-pokojowe na nowym osiedlu Wilczak. Mieszkanie usytuowane jest na parterze posiada ogród 23 48m2. Układ pomieszczeń: pokój dzienny z aneksem kuchennym (30 37m2) z...
532,220976,2,39.46,1,Poznań Wilda ul. Rolna 37 I 39,Nieruchomości Mieszkania Nieruchomości Mieszkania
533,435000,4,92.7,2,Poznań Jeżyce ul. Dąbrowskiego,Przestronne mieszkanie na drugim piętrze w kamienicy w Poznaniu w dzielnicy Jeżyce. Cztery pokoje okna wychodzące na północ wschód południe zachód; widok na inne budynki. Standard wykończenia: Ściany - tynk; Podłogi - wylewka...
534,299000,3,62,10,Poznań Rataje ul. Os. Rusa,NIEZALEŻNE POMIESZCZENIA! MIESZKANIE PO REMONCIE! GOTOWE DO WPROWADZENIA! Na sprzedaż mieszkanie 3-pokojowe usytuowane na 10 piętrze w WYSOKIM bloku z WINDĄ na os. Rusa (Rataje) o powierzchni 62m2. Mieszkanie jest jasne i przestronne. Posiada...
535,210000,3,54,1,Poznań Głuszyna,Kupując z pośrednikiem - kupujesz bezpiecznie z ubezpieczeniem OC od transakcji. Zapraszam na prezentację mieszkania połozonego w południowo-wschodniej dzielnicy Poznania - Głuszyna Mieszkanie połozone jest na I pietrze /niski blok z cegły. Blok...
536,330000,3,85.1,3,Poznań Centrum ul. Głogowska,Znakomita lokalizacja w centrum miasta funkcjonalny i niezależny układ pomieszczeń dobry stan techniczny oraz atrakcyjna cena to niewątpliwe cechy lokalu mieszkalnego którego właścicielem możesz zostać!!! Mieszkanie położone jest na trzecim...
537,330000,4,74.5,1,Poznań Dębiec,Polecam Państwu na sprzedaż ciekawe 4-pokojowe mieszkanie o pow. 74 50 m2 położone na pierwszym piętrze niskiego dwupiętrowego bloku na os. Dębina. Budynek z 1982r ( nie wielka płyta). Wszystkie pomieszczenia są niezależne. Największy pokój z...
538,691210,4,106.34,2,Poznań Poznań-Wilda ul. Św. Czesława,Przestronne i komfortowe mieszkanie w nowoczesnym apartamentowcu blisko Centrum. Budynek zbudowany w wysokim standardzie fasada charakteryzuje się oryginalnością zarówno w wyglądzie jak i doborze materiałów połączenie szklanych ścian osłonowych...
539,310000,3,58,7,Poznań Nowe Miasto,| 3-pokojowe mieszkanie układ niezależny - Poznań Rataje os. Oświecenia. Powierzchnia całkowita mieszkania - 58 m2. Mieszkanie składa się z 3 niezależnych pokoi (1 pokój 18 30m2 2 pokój 9m2 3 pokój 9m2) jasnej kuchnii (6 90m2) łazienki...
540,225000,1,30,1,Poznań Rataje Nowe Miasto Centrum. ul. Os. Piastowskie,Mieszkanie 2-pokojowe o powierzchni 43 7m2 na trzecim piętrze w niskim budynku na os. Piastowskim (Rataje). Dwa ustawne pokoje (14 4m2 i 16m2) kuchnia (4m2) z oknem loggia. Na podłogach w pokojach i korytarzu panele w kuchni wykładzina PCV....
541,366000,2,53.72,3,Poznań Nowe Miasto ul. Smolna,Rozkładowe przestronne mieszkanie na trzecim piętrze w bloku mieszkalnym w Poznaniu w dzielnicy Nowe Miasto. Dwa pokoje okna wychodzące na południe wschód; widok na inne budynki. Standard wykończenia: Ściany - gładź gipsowa; Podłogi -...
542,219000,2,46,4,Poznań ul. Jaworowa Dopłata Mdm,Przestronne dwa pokoje MDM nr ogłoszenia w biurze 14/MK/2 Atrakcyjne 2-pokojowe mieszkanie na 4 piętrze niskiego bloku w pobliżu pętli Dębiec w spokojnej okolicy ul. Jaworowej Na powierzchni 45 65m2 znajdują się następujące pomieszczenia: >...
543,320698,3,54.13,1,Poznań Piątkowo ul. Kurpińskiego,Nieruchomości Mieszkania Nieruchomości Mieszkania
544,380100,3,60.68,7,Poznań Winogrady ul. Hawelańska,Osiedle Nowe Winogrady zbudowaliśmy w północnej części Poznania w sąsiedztwie największego w mieście parku Cytadela i terenów rekreacyjnych nad Wartą. Pasjonaci historii mogą zwiedzać pobliskie stare forty z muzeami militariów. Lokalizacja...
545,188110,1,33.5,1,Poznań Łazarz ul. Kanałowa,Polecam na sprzedaż przestronne mieszkanie przy ul.Kanałowej w Centrum Poznania. Kamienica jest rewitalizowana posiada ogrzewanie miejskie (Dalkia). Mieszkania w stanie deweloperskim ( tynki gipsowe na ścianach drewniane podłogi drewniane nowe...
546,318000,3,62.7,6,Poznań Stare Miasto Piątkowo,Polecam na sprzedaż mieszkanie o powierzchni 63 m2 znajdujące się na Osiedlu Jana III Sobieskiego. Główne atuty nieruchomości: • doskonała komunikacja z centrum • bliskość komunikacji miejskiej • cicha i spokojna okolica Nieruchomość złożona z:...
547,275397,3,44.78,4,Poznań Winogrady ul. Hawelańska,Osiedle Nowe Winogrady zbudowaliśmy w północnej części Poznania w sąsiedztwie największego w mieście parku Cytadela i terenów rekreacyjnych nad Wartą. Pasjonaci historii mogą zwiedzać pobliskie stare forty z muzeami militariów. Lokalizacja...
548,450600,3,74.11,1,Poznań Grunwald,Polecam na sprzedaż mieszkanie w stanie deweloperskim na Grunwaldzie. Zestawienie pomieszczeń : 1. hall - 9 16 m2 2. pokój - 13 95 m2 3. kuchnia - 8 46 m2 4. łazienka - 4 63 m2 5. pokój - 17 27 m2 6. pokój - 12 90 m2...
549,254370,2,41.7,2,Poznań ul. Umultowska,WIOSENNA PROMOCJA!!! MIESZKANIA W BARDZO ATRAKCYJNYCH CENACH!!! ZAPRASZAMY www.btm.poznan.pl Na sprzedaż mieszkanie na Piątkowie przy ul Umultowskiej 23 o pow. 41 7 m2 zlokalizowane na II piętrze. Na metraż mieszkania składają się dwa ustawne...
550,130000,1,26,2,Poznań Wilda ul. Fabryczna,Polecam do sprzedaży kawalerkę o pow.ok 26m2 znajdującą się na 2 piętrze w kamienicy.Mieszkanie w pełni umeblowane po remoncie nowe okna PCV na podłogach panele. Mieszkanie składa się z pokoju z aneksem kuchennym ze sprzętem AGD łazienki z...
