Id,Rooms,SqrMeters,Floor,Location,Description
93,2,38.89,2,Poznań Winogrady ul. Hawelańska,Osiedle Nowe Winogrady zbudowaliśmy w północnej części Poznania w sąsiedztwie największego w mieście parku Cytadela i terenów rekreacyjnych nad Wartą. Pasjonaci historii mogą zwiedzać pobliskie stare forty z muzeami militariów. Lokalizacja...
94,4,93.74,5,Poznań Grunwald ul. Bukowska / Grochowska,SZKLARNIA
95,2,43.38,4,Poznań Winogrady ul. Hawelańska,Osiedle Nowe Winogrady zbudowaliśmy w północnej części Poznania w sąsiedztwie największego w mieście parku Cytadela i terenów rekreacyjnych nad Wartą. Pasjonaci historii mogą zwiedzać pobliskie stare forty z muzeami militariów. Lokalizacja...
96,4,90.09,2,Poznań ul. Droga Dębińska 19,Nieruchomości Mieszkania Nieruchomości Mieszkania
97,2,58,2,Poznań Nowe Miasto Głuszyna ul. Głuszyna,Wspaniałe dwupokojowe mieszkanie na przedmieściach Poznania. Główne atuty nieruchomości: • cicha i spokojna okolica • piekny widok • bliskość terenów zielonych Nieruchomość złożona z: • pokój 13 m.kw • pokój 17 5 m.kw • korytarz 9 m.kw •...
98,2,46,3,Poznań Stare Miasto ul. Hulewiczów,Polecam na sprzedaż 2-pokojowe mieszkanie 46m2. Własnościowe z księgą wieczystą. Klatka schodowa czysta i zadbana. Mieszkanie jest bardzo ciche ciepłe i jasne . Cena: 315 000 Umeblowanie takie jak na zdjęciach. W cenie pozostaje zabudowa...
99,1,29,1,Poznań-Grunwald,Polecam na sprzedaż studio z oknami balkonowymi o wyskokosci 2 2m i wyjsciem na własny ogródek w nowo powstającym budynku nawiązującym stylem do otaczających budynków w stylu secesyjnym. Budynek dwupiętrowy.. Mieszkanie sprzedawane w stanie...
100,2,42.42,10,Poznań Rataje ul. Czecha,MIESZKANIE RATAJE OKAZJA! DOBRA CENA! Polecam na sprzedaż mieszkanie o powierzchni 42 mkw na ostatnim piętrze w dziesięciopiętrowym budynku na osiedlu Czecha. Mieszkanie składa się z pokoju dziennego o powierzchni 15 mkw z wyjściem na...
101,4,81.3,5,Poznań Grunwald ul. Kamiennogórska,Mieszkać wśród spokojnej zieleni czy dać się porwać rytmowi miasta? Trudny wybór ale nie musi Cię dotyczyć jeśli zamieszkasz na Młodym Grunwaldzie! Poznaj miejsce dzięki któremu skorzystasz z wygód miasta i ciszy Lasku Marcelińskiego! Zrób...
102,3,60.26,2,Poznań Jeżyce ul. Poznańska 1-3,NOWY ADRES NA JEŻYCACH: POZNAŃSKA 1 POZNAŃSKA 1 to nowo budowana inwestycja mieszkaniowa u zbiegu ulic Kościelnej i Poznańskiej. Inwestycja zlokalizowana jest w centrum miasta w historycznej dzielnicy Jeżyce z bezpośrednim dostępem do...
103,2,65,1,Poznań Stare Miasto Centrum ul. Garbary,Polecam na sprzedaż luksusowy apartament o pow 65 m2 zlokalizowany w kompleksie apartamentowców Nowe Garbary. Mieszkanie usytuowane na pierwszym piętrze apartamentowca z całodobową ochrona recepcją i monitoringiem. Składa się z salonu i...
104,3,53.88,2,Poznań ul. Karpia 25,Nieruchomości Mieszkania Nieruchomości Mieszkania
105,2,42.66,3,Poznań Piątkowo ul. Kurpińskiego,Nieruchomości Mieszkania Nieruchomości Mieszkania
106,3,75,10,Poznań Piątkowo ul. Bolesława Śmiałego,Zapraszam do zapoznania się z ofertą sprzedaży przestronnego mieszkania położonego na os. Bolesława Śmiałego w Poznaniu. Atrakcyjna lokalizacja zapewnia szybką i dogodną komunikację z centrum miasta oraz dostęp do pobliskich terenów rekreacyjnych...
107,2,47.46,3,Poznań Winogrady ul. Hawelańska,Osiedle Nowe Winogrady zbudowaliśmy w północnej części Poznania w sąsiedztwie największego w mieście parku Cytadela i terenów rekreacyjnych nad Wartą. Pasjonaci historii mogą zwiedzać pobliskie stare forty z muzeami militariów. Lokalizacja...
108,2,44.82,1,Poznań Nowe Miasto ul. Smolna 13 D,Nieruchomości Mieszkania Nieruchomości Mieszkania
109,3,33.5,1,Poznań Łazarz,Zamieszkaj w jednym z pięknych mieszkań w odrestaurowanej kamienicy na Łazarzu (okolice ul. Kolejowej). Do wyboru mieszkania na parterze I II III oraz IV piętrze (wysokie poddasze). Kamienica jest w pełni wyremontowana i posiada nowe...
110,2,42,10,Poznań Grunwald ul. Newtona,Na sprzedaż mieszkanie 42 20 m2. Mieszkanie położone na 10 piętrze w bloku przy ulicy Newtona na Grunwaldzie. Mieszkanie posiada dwa dobrze nasłonecznione pokoje jasną kuchnię łazienkę z oddzielnym WC oraz przedpokój. Mieszkanie wymaga...
111,2,40.67,1,Poznań Wilda ul. Rolna 37 I 39,Nieruchomości Mieszkania Nieruchomości Mieszkania
112,2,37,4,Poznań Sołacz Winiary Winogrady Piątkowo ul. Nad Potokiem,Oferuję na sprzedaż mieszkanie dwupokojowe w dzielnicy Sołacz ul. Nad Potokiem. Mieszkanie znajduje się na 4 piętrze w niskim bloku. Na powierzchnię mieszkania 37 m2 składają się: 2 pokoje kuchnia przedpokój i łazienka. Mieszkanie w układzie...
113,3,53,3,Poznań Winogrady Piątkowo Centrum ul. Wichrowe Wzgórze Os.,Polecam na sprzedaż mieszkanie zlokalizowane na Poznańskich Winogradach - os. Wichrowe Wzgórze. Mieści się w niskim ocieplonym bloku na 3 piętrze. Do mieszkania przynależy balkon oraz piwnica. Okna nowe PCV. Na metraż 53m2 składa się z 3...
114,2,48.1,1,Poznań Rataje ul. Katowicka Malta,Gorąco polecam nową ofertę rewelacyjnego mieszkania dwupokojowego położonego na pierwszym piętrze w kompleksie wybudowanym przez Atanera przy ulicy Katowickiej. Modna i prestiżowa dzielnica - wyłącznie nowoczesna atrakcyjna zabudowa. 100 m do...
115,2,57,14,Poznań Poznań-Nowe Miasto ul. Os. Orła Białego,*** 2 NIEZALEŻNE POKOJE ***NIEPOWTARZALNA OKAZJA!!! *** Słoneczne dwupokojowe mieszkanie zlokalizowane w Poznaniu w dzielnicy Nowe Miasto. Lokal położony na czternastym piętrze w szesnastopiętrowym bloku. Na powierzchni 57m2...
116,2,49.27,1,Poznań ul. Karpia 25,Nieruchomości Mieszkania Nieruchomości Mieszkania
117,3,54,3,Poznań Winogrady ul. Osiedle Powstańców Warszawy,Zachęcam do zapoznania się z oferta sprzedaży mieszkania na poznańskich Winogradach os. Powstańców Warszawy. Na 53m2 składają się 3 pokoje w tym jeden połączony z otwartą kuchnią łazienka z wc korytarz oraz balkon. Mieszkanie znajduje się w...
118,4,85,4,Poznań Stare Miasto Piątkowo ul. Os. Władysława Łokietka,Zachęcam do zakupu dużego 4-pokojowego mieszkania w niskim bloku na os. Łokietka. Blok położony w otulinie Rezerwatu Żurawiniec blisko centrum handlowo-usługowego szkoły i przystanku autobusowego (linie w kierunku centrum Piątkowa PST i os....
119,1,25,2,Poznań Poznań-Grunwald ul. Jana Matejki,Oferta sprzedaży mieszkania o łącznej powierzchni 25m2 na 2 piętrze rewitalizowanej zabytkowej kamienicy położonej przy ulicy Matejki jednej z najelegantszych ulic śródmieścia Poznania złożonej głównie z secesyjnych kamienic w bezpośredniej...
120,2,48.4,8,Poznań Rataje Nowe Miasto ul. Os. Piastowskie,Kontakt: Katarzyna Piotrowska 607-071-477 Polecam na sprzedaż dwupokojowe mieszkanie w świetnie zlokalizowanym bloku na os.Piastowskim na Ratajach. Świetna oferta dla zainteresowanych zakupem w celach inwestycyjnych jak i dla osób szukających...
121,3,97,1,Poznań,Na sprzedaż atrakcyjne 2 - pokojowe mieszkanie w kamienicy w centrum Poznania blisko Targów Poznańskich dworca PKP itd. Budynek jest po kompleksowym remoncie wliczając nowy węzeł cieplny nowy dach drewniane okna itp. Mieszkanie posiada...
122,2,65,1,Poznań Stare Miasto Stary Rynek Centrum ul. Garbary,Prestiżowy apatrament - idealny na inwestycję lub do zamieszkania w centrum! OKAZJA!!! Do sprzedaży mieszkanie o powierzchni całkowitej 65 m2. Cena sprzedaży wynosi 495 000 zł. Mieszkanie znajduje się w apartamentowcu z 2009r. na 1 piętrze....
123,2,44,3,Poznań Grunwald ul. Grunwaldzka Górczyn Wysoki Standard,Polecam na sprzedaż mieszkanie 2-pokojowe o WYSOKIM STANDARDZIE usytuowane na 3 piętrze w kamienicy zlokalizowane na Górczynie okolice ul. Ściegiennego Bosa Daleka. Kamienica jest zadbana po CAŁKOWITEJ REWITALIZACJI w 2013 r. całkowicie...
124,2,44.02,6,Poznań Piątkowo ul. Kurpińskiego,Nieruchomości Mieszkania Nieruchomości Mieszkania
125,3,53,4,Poznań Poznań-Grunwald ul. Kuźnicza,Przedstawiam na sprzedaż mieszkanie 3pok w niskim bloku przy ul Kuźniczej. - 3 niezależne pokoje - duża kuchnia z oknem meble na wymiar - łazienka - WC Mieszkanie rozkładowe wejście do wszystkich pomieszczeń z korytarza. Mieszkanie w dobrym...
126,1,54,1,Poznań Centrum,NOWE JEDNOPOKOJOWE PRZESTRONNE MIESZKANIE Z BALKONEM. WINDA. PODJAZD DLA NIEPEŁNOSPRAWNYCH. POZNAŃ: CENTRUM STARE MIASTO W POBLIŻU: STARY RYNEK PARK CYTADELA STARY BROWAR MALTA. Reprezentacyjny nowoczesny elegancki ...
127,1,25,5,Poznań Centrum ul. Okolice Półwiejskiej,Klimatyczne mieszkanie na poddaszu z WINDĄ w samym centrum Poznania. Mieszkanie znajduje się w kamienicy z 1900r. na 5 piętrze. Mieszkanie jest jednopoziomowe ilość pokoi 1 aneks kuchenny. Stan techniczny lokalu - do wprowadzenia stan...
128,3,64,1,Poznań Grunwald Junikowo Górczyn ul. Międzyborska,Polecam duże mieszkanie z potencjałem na kameralnym osiedlu -skrzyżowanie ul.Międzyborskiej i ul.Bełchatowskiej dzielnica Grunwald w Poznaniu.Położone na parterze w czteropiętrowym bloku. Łączna powierzchnia to 64m2 i składa się z 3...
129,2,59.4,3,Poznań Naramowice ul. Naramowicka Jasna Rola Naramowice Os.,OFERTA LICENCJONOWANEGO POŚREDNIKA - kupujesz bezpiecznie z ubezpieczeniem OC od transakcji. Polecam na sprzedaż atrakcyjne mieszkanie 2 pokojowe o pow. 59 4 m2 zlokalizowane na 3 piętrze w niskim budynku przy ulicy Naramowicka/Jasna Rola....
130,3,51,1,Poznań Naramowice Piątkowo Winogrady ul. Rubież Ul.,Na sprzedaż bardzo ładne słoneczne 3 pokojowe mieszkanie o powierzchni 51m2 zlokalizowane na strzeżonym osiedlu przy ul. Rubież. Mieszkanie na pierwszym piętrze trzypiętrowego budynku. Mieszkanie składa się pokoju dziennego z aneksem...
131,2,39.98,4,Poznań Winogrady ul. Hawelańska,Osiedle Nowe Winogrady zbudowaliśmy w północnej części Poznania w sąsiedztwie największego w mieście parku Cytadela i terenów rekreacyjnych nad Wartą. Pasjonaci historii mogą zwiedzać pobliskie stare forty z muzeami militariów. Lokalizacja...
132,2,40,1,Poznań Stare Miasto,Dwa pokoje 3 minuty od Starego Rynku. Mieszkanie w reprezentacyjnej kamienicy wybudowanej w 1806 roku. Przed budynkiem bezpośrednio miejsce parkingowe. Samo mieszkanie to aneks kuchenny oraz dwa osobne pomieszczenia (24m2 i 11m2) i...
133,2,48.8,2,Poznań Naramowice ul. Naramowicka,Polecam na sprzedaż mieszkanie w nowym bloku na poznańskich Naramowicach. Lokal o powierzchni niespełna 49 mkw. znajduje się na 2. piętrze niskiego bloku wyposażonego w 2 windy. Składa się z dużego salonu połączonego z kuchnią (możliwość łatwego...
134,3,49,9,Poznań Piątkowo Winogrady Centrum ul. Sobieskiego Os.,Polecam na sprzedaż mieszkanie 3 pokojowe zlokalizowane na Poznańskim Piątkowie - os. Sobieskiego. Mieści się na 9 piętrze w bloku z windą. Na metraż 49 6 m2 składa się z dwóch niezależnych pokoi oraz jednego dużego z barkiem - otwartą kuchnią ...
135,2,64,1,Poznań Nowe Miasto Głowieniec ul. Ziemowita,Mieszkanie dla wymagających klientów w pobliżu pięknych terenów rekreacyjnych Malty. Gratka dla młodych aktywnych osób! Główne atuty nieruchomości: • bliskość komunikacji miejskiej • cicha i spokojna okolica • w pełni wykończony lokal...
136,2,42,4,Poznań Grunwald Górczyn Łazarz Centrum ul. Newtona - Polecam!!!,BEZPIECZNA TRANSAKCJA JEDYNIE Z DOŚWIADCZONYM I LICENCJONOWANYM POŚREDNIKIEM!!! 100 % SATYSFAKCJI Z ZAKUPU!!! Polecam do zakupu mieszkanie 2 pokojowe położone na Grunwaldzie ( ul. Newtona ). Na 42 m2 składają się dwa ustawne i nieprzechodnie...
137,2,50,4,Poznań Piątkowo ul. Bolesława Chrobrego,Zachęcam do zapoznania się z ofertą sprzedaży mieszkania na poznańskim Piątkowie os. Bolesława Chrobrego. Mieszkanie składające się z dwóch niezależnych pokoi korytarza łazienki oddzielnego WC oraz kuchni o łącznej powierzchni 50 m2....
138,2,46.03,1,Poznań Winogrady ul. Hawelańska,Nieruchomości Mieszkania Nieruchomości Mieszkania
139,1,30,1,Poznań Grunwald Ogrody Łazarz Górczyn Jeżyce ul. Krauthofera Ul.,Polecam na sprzedaż kawalerke (umeblowaną lub nie) o pow. 29 5 m2 z balkonem położoną w Poznaniu przy ul. Krauthofera (w pobliżu ul. Głogowskiej i Dmowskiego). Lokal własnościowy położony na I p. (w budynku czteropiętrowym z windą) budynek...
140,1,22,5,Poznań Jeżyce ul. Szpitalna,Na sprzedaż kawalerka w pobliżu Ogrodu Botanicznego i Jeziora Rusałka co zapewnia ciche i spokojne miejsca dla odpoczynku. Mieszkanie po remoncie szafa w korytarzu w zabudowie pomimo małej przestrzeni bardzo ustawne i wygodne w użytkowaniu ...
141,2,48.8,5,Poznań-Nowe Miasto Żegrze,Zapraszam do zapoznania się z ofertą sprzedaży komfortowego mieszkania w Poznaniu! Mieszkanie mieści się w limitach finansowych programu Mieszkanie dla Młodych w którym wielkość dopłat wynosi od 26 284zł do 78 851zł. Zadbane mieszkanie w...
142,2,44,1,Poznań Dębiec Wilda Łazarz Centrum Grunwald ul. Klonowa - Okazja!!!,BEZPIECZNA TRANSAKCJA JEDYNIE Z DOŚWIADCZONYM I LICENCJONOWANYM POŚREDNIKIEM!!! 100 % SATYSFAKCJI Z ZAKUPU!!! Polecam do zakupu mieszkanie 2 pokojowe położone na Dębcu ( ul. Klonowa ). Na 44 m2 składają się dwa ustawne pokoje ( w tym jeden...
143,2,55,5,Poznań Winogrady Stare Miasto Piątkowo ul. Mieszka I,Nowe budownictwo Winogrady-najlepsza lokalizacja - przy PST! OKAZJA!!! Do sprzedaży mieszkanie o powierzchni całkowitej 55 m2. Cena sprzedaży wynosi 395 000 zł. Mieszkanie znajduje się w bloku z cegły z 2006r. na 5 piętrze. Mieszkanie jest...
144,2,49.8,1,Poznań ul. Droga Dębińska 19,Nieruchomości Mieszkania Nieruchomości Mieszkania
145,4,100.7,2,Poznań Stare Miasto Naramowice ul. Bolka,Wspaniałe 100 metrowe mieszkanie na poznańskich Naramowicach. Główne atuty nieruchomości: • cicha i spokojna okolica • piekny widok • wysoki standard wykończeń Nieruchomość złożona z: • pokój 10 1 m.kw • pokój 10 1 m.kw • pokój 12 m.kw •...
146,1,30,1,Poznań Poznań-Grunwald ul. Jana Matejki,Oferta sprzedaży mieszkania o łącznej powierzchni 29m2 na 1 piętrze rewitalizowanej zabytkowej kamienicy położonej przy ulicy Matejki jednej z najelegantszych ulic śródmieścia Poznania złożonej głównie z secesyjnych kamienic w bezpośredniej...
147,2,42,10,Poznań Grunwald ul. Os. Kopernika,Polecam na sprzedaż mieszkanie dwupokojowe o powierzchni 42 m2 na Grunwaldzie (Os. Kopernika ). Mieszkanie usytuowane jest na X piętrze w XI piętrowym ocieplonym i odnowionym bloku. Mieszkanie składa się z dwóch niezależnych pokoi oddzielnej...
148,3,54,3,Poznań Winogrady,Polecam na sprzedaż 3-pokojowe mieszkanie w nowym bloku na poznańskich Winogradach. Lokal zajmuje powierzchnię 54 mkw. i położony jest na 3. piętrze bloku z cegły na os. Powstańców Warszawy. Składa się z 3 pokoi (salon + 2 sypialnie) łazienki i...
149,4,89,3,Poznań Rataje,Polecamy do sprzedaży mieszkanie 4-pokojowe z balkonem zlokalizowanego na Ratajach. Nieruchomość położona jest na 3 piętrze trzypiętrowego bloku z cegły. Na powierzchnię 88 7 mkw składają się 4 pokoje (24 5; 12 20; 12 10; 9 60) kuchnia (10 60) ...
150,2,49.3,9,Poznań ul. Chrobrego 11,Atrakcyjne 2 pokojowe mieszkanie na osiedlu Bolesława Chrobrego 11. PROWIZJĘ POŚREDNIKA POKRYWA KUPUJĄCY! + Dodatkowe liczne upusty przy transakcji! Lokal: Powierzchnia mieszkania wynosi 49 3m2. Nieruchomość składa się z 2 niezależnych pokoi o...
151,1,31,1,Poznań Winogrady ul. Os. Na Murawie,Polecam do sprzedaży mieszkanie ( spółdzielcze własnościowe ) o powierzchni 83 m2 położone na parterze z osobnym wejściem nie poprzez klatkę schodową niskiego bloku z 1993 roku na osiedlu Na Murawie. Na wspomnianą powierzchnię składają się 3...
152,2,54,2,Poznań Poznań Stare Miasto ul. Solna Św.Wojciecha,Do sprzedaży dwupokojowe mieszkanie w Centrum Poznania ul. św. Wojciecha. Mieszkanie składa się dwóch niezależnych pokoi (18m2 i 20 m2). Mieszkanie jest po remoncie i wyposażone w sprzęt AGD. Lokalizacja to cicha boczna uliczka a jednocześnie...
153,3,48,1,Poznań Winogrady ul. Os. Kosmonautów,| MIESZKANIE W NISKIM BLOKU Z BALKONEM Przytulne funkcjonalne mieszkanie w dzielnicy Winograd na Osiedlu Kosmonautów. Mieszkanie znajduje się w niskim bloku na 1 piętrze. Powierzchnia całkowita mieszkania 47 3 m2. Mieszkanie składa się z 3...
154,4,74,1,Poznań Kórnik ul. 0 Prowizji Dla Kupującego,OFERTA LICENCJONOWANEGO POŚREDNIKA - GWARANCJA BEZPIECZNEJ TRANSAKCJI!!! Jasne przestronne optymalnie zaprojektowane domy w których znajdują się 4 odrębne lokale 2 lokale na parterze oraz 2 lokale na piętrze. Lokale na piętrze są lokalami...
155,3,63,1,Poznań Rataje ul. Daszewice,UWAGA! PROMOCJA! Oglądaj mieszkania z naszym biurem a my zaproponujemy Ci konkurencyjną prowizję! Zadzwoń i spytaj o to naszego doradcę! Polecam na sprzedaż przytulne mieszkanie trzypokojowe o powierzchni 63m2 w Daszewicach koło Poznania....
156,1,20,5,Poznań Jeżyce ul. Dąbrowskiego,Na sprzedaż kawalerka w pobliżu Ogrodu Botanicznego i Jeziora Rusałka co zapewnia ciche i spokojne miejsca dla odpoczynku. Mieszkanie po remoncie szafa w korytarzu w zabudowie pomimo małej przestrzeni bardzo ustawne i wygodne w użytkowaniu ...
157,3,64,1,Poznań Stare Miasto,Polecamy!!! 3-pokojowe mieszkanie o powierzchni 64m2 zlokalizowane w północnej części Poznania. Nieruchomość położona jest na 1 piętrze w 4-piętrowym bloku. Do mieszkania przynależy loggia. Czynsz bardzo niski ok.260 zł/mc Cena sprzedaży...
158,3,61,3,Poznań Rataje ul. Os.Rzeczypospolitej,Polecam do sprzedaży zadbane i ładne rozkładowo mieszkanie trzypokojowe(pierwotnie cztery pokoje) o powierzchni 61 2m2 położone na trzecim piętrze niskiego bloku na os. Rzeczypospolitej.Idealne dla rodziny z dziećmi lub pod inwestycje. Mieszkanie...
159,2,47,7,Poznań Dębiec ul. Os. Dębina,Polecam na sprzedaż! Mieszkanie o powierzchni 47 m2 usytuowane na 7 piętrze. W skład mieszkania wchodzą: 2 niezależne pokoje(powierzchnie około 18 i 10 m2) kuchnia(ok. 5m2) łazienkę razem z wc(ok. 6m2)balkon oraz korytarz. Rodzaj ogrzewania:...
160,2,25,1,Poznań Grunwald/Łazarz ul. Matejki Jana Matejki,Polecam na sprzedaż mieszkanie dwupokojowe typu studio w nowo odrestaurowanej trzykondygnacyjnej kamienicy w budynku oficynowym z początku XX wieku położonej w centrum Poznania. 0% PROWIZJI DLA KUPUJĄCEGO NA OFERTY DEWELOPERSKIE !!! mieszkanie...
161,1,34,2,Poznań Wilda Łazarz Grunwald ul. Kolejowa,Polecam na sprzedaż kawalerkę w z rewitalizowanej kamienicy. Podstawowe informacje: odległość od Dworca PKP ? 300m odległość od przystanku tramwajowego ? 400m odległość od Centrum Targowego (MTP) ? 400m 50 m obok ? parking strzeżony w...
162,1,35,1,Poznań Wilda Łazarz Grunwald ul. Kolejowa,Polecam na sprzedaż kawalerkę w z rewitalizowanej kamienicy. Podstawowe informacje: odległość od Dworca PKP ? 300m odległość od przystanku tramwajowego ? 400m odległość od Centrum Targowego (MTP) ? 400m 50 m obok ? parking strzeżony w...
163,4,64,2,Poznań Nowe Miasto ul. Zawady,Polecam na sprzedaż mieszkanie na drugim piętrze słoneczne i przestronne. Mieszkanie bardzo ciepłe!!! Kompleks niskich plac zabaw zieleń w pobliżu sklep Tesco apteka bank przedszkole szkoła pływalnia autobus szybki tramwaj. Okolica cicha...
164,1,36.7,1,Poznań Górczyn ul. Knapowskiego,Knapowskiego 25 to kameralny budynek składający się z 4 kondygnacji w tym 17 mieszkań oraz jeden lokal usługowy. Na parterze znajdują się garaże z indywidualnymi wjazdami. Garaże dostępne są również na zewnątrz zaś na terenie działki 9 miejsc...
165,2,47,4,Poznań Grunwald ul. Raszyńska,Na sprzedaż dwupokojowe mieszkanie położone przy ul. Raszyńskiej. Gotowe do odbioru. Powierzchnia 45 6 m2. Salon z aneksem kuchennym (25 m2) pokój (11 1) łazienka (3 6) korytarz (5 9) balkon (7 m2). Możliwość zakupu mieszkania w programie...
166,1,30,1,Poznań Sołacz Winogrady Piątkowo Naramowice ul. Maczka,Przytulna kawalerka NA SPRZEDAŻ w idealnej lokalizacji na Sołaczu przy ulicy Generała Maczka w Poznaniu. Lokal usytuowany na wysokim parterze w NISKIEJ ZABUDOWIE - IV piętrowy ocieplony budynek z cegły. Na 30m2 składa się: jasna kuchnia salon ...
167,2,43.36,5,Poznań Piątkowo ul. Kurpińskiego,Nieruchomości Mieszkania Nieruchomości Mieszkania
168,2,59.55,1,Poznań Poznań-Grunwald ul. Bosa,Przedstawiamy Państwu nową inwestycję w centrum Poznania dzielnica Grunwald. Kameralny Trzypiętrowy budynek zaprojektowany w stylu tradycyjnym pozwala zachować poczucie bezpieczeństwa i rodzinnej atmosfery. Nowe Kamienice to idealne miejsce dla...
169,2,46.4,1,Poznań Centrum Stare Miasto ul. Św. Marcin Ratajczaka 27 Grudnia,Zapraszam do zapoznania się z ofertą sprzedaży mieszkania położonego w ścisłym Centrum w oficynie kamienicy. Powierzchnia obejmuję dwa pokoje w tym jeden przechodni kuchnię łazienkę z toaletą Okna na zachód pcv. Podłogi wykładziny panele ...
170,2,44.02,9,Poznań Piątkowo ul. Kurpińskiego,Nieruchomości Mieszkania Nieruchomości Mieszkania
171,2,53,5,Poznań Stare Miasto Centrum ul. Mostowa,OKAZJA! Wygodne dwupokojowe mieszkanie na piątym piętrze w plombie z cegły z windą w bezpośrednim sąsiedztwie Starego Rynku. Główne atuty nieruchomości: • bliskość komunikacji miejskiej • rozkład pomieszczeń • dobra ekspozycja na strony...
172,2,40.68,1,Poznań Wilda ul. Rolna 37 I 39,Nieruchomości Mieszkania Nieruchomości Mieszkania
173,3,87,2,Poznań Poznań-Grunwald ul. Arnolda Szylinga,Polecam na sprzedaż mieszkanie o powierzchni 87m2 (z piwnicami 105 7m2) na ul.Szylinga w Poznaniu. Mieszkanie położone jest na 2 piętrze 4-piętrowego budynku z cegły z 1910 roku. Budynek jest po całkowitym remoncie: nowa elewacja ocieplenie oraz...
174,1,29,1,Poznań Centrum ul. Zwierzyniecka Gajowa,Kawalerka blisko Centrum wolna od zaraz w budynku Ataner przy ulicy Zwierzynieckiej! Mieszkanie położone na pierwszym piętrze składa się z pokoju z ankesem kuchennym łazienki oraz korytarza o powierzchnia 28 9 Okna PCV. Ściany wygładzone. Podłogi...
175,2,33.8,3,Poznań Grunwald ul. Kanałowa Kolejowa Graniczna,Polecam na sprzedaż mieszkanie w zrewitalizowanej kamienicy położonej przy ulicy Kanałowej (skrzyżowanie z Kolejową Graniczną) w Poznaniu. 0 % DLA KUPUJACYCH PRZY OFERTACH DEWELOPERSKICH Mieszkanie w stanie deweloperskim. Na uwagę zasługują...
176,4,85,3,Poznań Winogrady,WYJĄTKOWA OKAZJA! 4 pokoje dwa balkony 85m2 dwupoziomowe nowy blok miejsce postojowe Winogrady. Na sprzedaż słoneczne przestrzenne czteropokojowe mieszkanie w bloku z cegły. W skład mieszkania wchodzi salon (33m2) trzy pokoje (10 9...
177,3,60,4,Poznań Rataje,Szanowni Państwo Jako właściciel Biura Nieruchomości EURO-dom.CO oferuję Państwu profesjonalne i skuteczne usługi pośrednictwa w obrocie nieruchomościami. Nasz zespół to Pośrednicy Prawnik Biegły Rewident Podatkowy Agent Ubezpieczeniowy....
178,2,54.19,3,Poznań Jeżyce Grunwald Stare Miasto Centrum ul. Jackowskiego 27,STYLOWE MIESZKANIE W KAMIENICY UL. JACKOWSKIEGO 27 BEZPOŚREDNIO! OKAZJA!!! Polecamy mieszkanie o powierzchni 54 19 m2 w zrewitalizowanej zabytkowej kamienicy w sercu poznańskich Jeżyc. Słoneczne i przestrzenne mieszkanie na II PIĘTRZE budynku ...
179,2,57.53,4,Poznań Stare Miasto ul. Piaskowa,BT licencjonowany pośrednik gwarancją BEZPIECZNEJ TRANSAKCJI Na sprzedaż mieszkanie poddaszowe o pow. użytkowej 57 53 m2 (po podłodze: 61 34 m2) zlokalizowane w zrewitalizowanej kamienicy z 1905 roku przy skrzyżowaniu ul. Garbary / Estkowskiego....
180,3,75,1,Poznań Jeżyce Centrum ul. Kraszewskiego,Zapraszam do zapoznania się z ofertą sprzedaży przestronnego mieszkania położonego przy ul. Kraszewskiego w Poznaniu. Atrakcyjna lokalizacja zapewnia szybką i wygodną komunikację z ścisłym centrum miasta w promieniu kilkudziesięciu metrów...
181,4,71.3,11,Poznań Piątkowo ul. Os. Bolesława Chrobrego,Polecam na sprzedaż przestronne mieszkanie położone na Osiedlu Bolesława Chrobrego. Mieszkanie posiada niezależny duży salon trzy niezależne pokoje widną oddzielną kuchnię łazienkę z wanną oraz korytarz ponadto w mieszkaniu znajduje się...
182,5,93,1,Poznań Kotowo ul. Tyniecka,--- Oferta developerska --- Kupujący nie ponosi dodatkowych kosztów ---- Bez podatku i prowizji --- Zapraszam do zapoznania się z nowo powstająca inwestycją w Poznaniu przy ulicy Tynieckiej na Kotowie. W powstającym budynku znajdować się...
183,3,94,1,Poznań Naramowice ul. Błażeja,DOSTĘPNE TYLKO W HOME BROKER! OFERTA NA WYŁĄCZNOŚĆ! Ciche trzypokojowe dwupoziomowe mieszkanie w segmencie środkowym w Poznaniu - Naramowice. Okna wychodzące na południe wschód zachód z widokiem na drzewa. W cenie pozostaje: zabudowa...
184,2,48,2,Poznań Jeżyce,MIESZKANIE GRUNWALD/JEŻYCE Na sprzedaż mieszkanie o powierzchni 48 mkw w niskim budynku z cegły na drugim piętrze z balkonem. Mieszkanie składa się z przestrzeni pokoju dziennego z wyjściem na balkon o powierzchni 20 mkw osobnej sypialni z...
185,2,35,4,Poznań Nowe Miasto ul. Oświecenia,Zapraszam do zapoznania się z ofertą sprzedaży mieszkania o pow.35mkw położonego w niskim bloku na ostatnim IVp. na Poznańskich Ratajach na os.Oświecenia. Mieszkania jest w układzie niezależnym. Przestronny hol prowadzi do łazienki kuchni z...
186,3,79.5,11,Poznań Rataje,MIESZKANIE RATAJE Na sprzedaż komfortowe mieszkanie na Ratajach o powierzchni 79 5 mkw na jedenastym piętrze z ładnym widokiem na okolice. Nieruchomość składa się z trzech pokoi - jasnego pokoju dziennego o powierzchni 20 1 mkw oraz dwóch...
